B_age,B_current_lose_streak,B_current_win_streak,B_Height_cms,B_longest_win_streak,B_losses,B_Reach_cms,B_Stance,B_total_rounds_fought,B_total_title_bouts,B_Weight_lbs,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,R_age,R_current_lose_streak,R_current_win_streak,R_Height_cms,R_longest_win_streak,R_losses,R_Reach_cms,R_Stance,R_total_rounds_fought,R_total_title_bouts,R_Weight_lbs,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,title_bout,weight_class,Winner
0.357142857,0.2,0,0.695652174,0,0.0625,0.846153846,Orthodox,0.021276596,0,0.966666667,0,0,0,0,0,0,0,0.296296296,0.25,0,0.52173913,0.0625,0.117647059,0.583333333,Southpaw,0.056818182,0,0.993333333,0,0,0,0.090909091,0,0,0.043478261,FALSE,Heavyweight,Blue
0.392857143,0.2,0,0.304347826,0.0625,0.0625,0.346153846,Orthodox,0.042553191,0,0.2,0,0,0.1,0,0,0,0.043478261,0.407407407,0,0.0625,0.260869565,0.0625,0.117647059,0.333333333,Orthodox,0.113636364,0.0625,0.2,0,0,0,0.090909091,0.071428571,0,0.086956522,FALSE,WomenFeatherweight,Blue
0.428571429,0.2,0,0.52173913,0.0625,0.0625,0.576923077,Switch,0.063829787,0,0.2,0,0,0.1,0,0,0,0.043478261,0.222222222,0,0.1875,0.391304348,0.1875,0.117647059,0.5,Orthodox,0.170454545,0,0.2,0,0.2,0.2,0.090909091,0.071428571,0,0.217391304,FALSE,Featherweight,Red
0.5,0,0.0625,0.043478261,0.25,0.25,0.192307692,Orthodox,0.372340426,0.125,0,0.5,0.4,0.4,0,0.071428571,0,0.347826087,0.444444444,0,0.375,0.217391304,0.375,0,0.125,Orthodox,0.204545455,0,0,0,0,0.6,0,0,0,0.260869565,FALSE,WomenStrawweight,Blue
0.357142857,0,0.375,0.347826087,0.375,0.1875,0.269230769,Orthodox,0.212765957,0.1875,0.133333333,0,0,0.2,0.454545455,0,0,0.304347826,0.518518519,0,0.125,0.347826087,0.1875,0.176470588,0.458333333,Orthodox,0.25,0,0.133333333,0,0,0.2,0.454545455,0.071428571,0,0.347826087,FALSE,Bantamweight,Red
0.678571429,0,0.3125,0.47826087,0.3125,0.0625,0.5,Southpaw,0.14893617,0,0.366666667,0,0.2,0.1,0,0.214285714,0,0.217391304,0.62962963,0,0.1875,0.47826087,0.1875,0.529411765,0.625,Orthodox,0.545454545,0.0625,0.366666667,0,0.2,0.5,0,0.142857143,0,0.347826087,FALSE,Welterweight,Red
0.142857143,0,0.25,0.608695652,0.25,0.0625,0.615384615,Orthodox,0.095744681,0,0.466666667,0,0.2,0,0.181818182,0.071428571,0,0.173913043,0.481481481,0,0.0625,0.565217391,0.25,0.235294118,0.708333333,Orthodox,0.295454545,0,0.466666667,0,0,0.2,0.272727273,0.214285714,0,0.347826087,FALSE,Middleweight,Red
0.357142857,0,0.125,0.217391304,0.125,0.125,0.346153846,Orthodox,0.085106383,0,0.066666667,0,0.2,0,0,0,0.5,0.086956522,0.444444444,0.5,0,0.347826087,0.25,0.176470588,0.416666667,Orthodox,0.159090909,0,0.066666667,0,0.4,0.1,0,0.142857143,0,0.217391304,FALSE,Bantamweight,Blue
0.464285714,0.2,0,0.608695652,0,0.0625,0.846153846,Orthodox,0.031914894,0,0.466666667,0,0,0,0,0,0,0,0.37037037,0,0.0625,0.608695652,0.0625,0.058823529,0.708333333,Orthodox,0.034090909,0,0.6,0,0,0,0,0,0.5,0.043478261,FALSE,Middleweight,Red
0.535714286,0,0.125,0.173913043,0.125,0.0625,0.384615385,Orthodox,0.159574468,0,0.066666667,0,0,0.3,0.090909091,0,0,0.173913043,0.481481481,0,0.0625,0.391304348,0.1875,0.235294118,0.333333333,Orthodox,0.386363636,0.0625,0.066666667,0,0.2,0.7,0,0,0,0.347826087,FALSE,WomenFlyweight,Red
0.428571429,0,0.125,0.565217391,0.125,0,0.769230769,Southpaw,0.042553191,0,0.466666667,0,0,0.1,0,0.071428571,0,0.086956522,0.814814815,0,0.3125,0.565217391,0.3125,0.352941176,0.5,Orthodox,0.386363636,0,0.466666667,0,0,0.1,0.363636364,0.285714286,0,0.391304348,FALSE,Middleweight,Blue
0.464285714,0,0.0625,0.434782609,0.375,0.3125,0.538461538,Southpaw,0.414893617,0,0.266666667,0,0.4,0.4,0.272727273,0.357142857,0,0.608695652,0.666666667,0,0.1875,0.47826087,0.75,0.176470588,0.666666667,Orthodox,0.488636364,0.1875,0.266666667,0,0.2,0.3,0.272727273,0.428571429,1,0.652173913,FALSE,Lightweight,Blue
0.571428571,0,0.0625,0.347826087,0.0625,0,0.5,Orthodox,0.010638298,0,0.266666667,0,0,0,0.090909091,0,0,0.043478261,0.444444444,0,0.125,0.434782609,0.5,0.529411765,0.583333333,Orthodox,0.579545455,0,0.266666667,0,0,0.2,0.181818182,1,0,0.782608696,TRUE,Lightweight,Red
0.535714286,0,0.0625,0.304347826,0.0625,0.0625,0.538461538,Orthodox,0.053191489,0,0.2,0,0,0,0.090909091,0,0,0.043478261,0.37037037,0.25,0,0.391304348,0.0625,0.411764706,0.458333333,Orthodox,0.284090909,0,0.266666667,0,0,0.1,0.090909091,0.071428571,0,0.130434783,FALSE,Featherweight,Red
0.607142857,0,0.0625,0.347826087,0.0625,0.125,0.346153846,Southpaw,0.138297872,0,0.066666667,0,0,0.1,0.090909091,0.071428571,0,0.130434783,0.481481481,0,0.1875,0.260869565,0.1875,0.176470588,0.375,Orthodox,0.204545455,0,0.066666667,0,0,0.3,0,0,0,0.130434783,FALSE,WomenFlyweight,Red
